코드,부자재명,단위,재고,필요량,부족량
A05,곱창돌김,속,8134,42360,34226
A04,감태김,속,2040,18124,16084
A01,재래김,속,145,7962,7817
O06,옥배유,1kg,5950,18604,12654
O01,참기름_조미,1kg,6695.04,16186,9491
B01,정제소금(한주),1kg,2975,4202,1227
O04,고올레산 해바라기유,Kg,21034.7,22195,1160
O07,혼합 올리브유,1kg,3960,4975,1015
B03,가공소금(맛소금),1kg,0,368,368
O03,유기농참기름,1kg,0,91,91
B05,천일염,kg,9465,2452,0
O05,유기농 고올레산 해바라기유,Kg,1814.36,251,0
O08,포도씨유,1kg,1056,83,0
P01A071,예맛 구운 재래김 4.5g 내포,롤,0,1129,1129
P01A010,국내 예맛갯벌재래김5g 내포,롤,127.86,575,448
IMP00005,KS구운재래김17g*10봉 내포,개,0,368,368
IMP00002,곱창돌김식탁김17g 내포,개,0,340,340
P01A008,국내 두번구운곱창돌김식탁17g 내포,롤,96,340,244
IMP00024,올리브유섞어구워향긋한파래김40g(12매*8봉) 내포,개,0,166,166
P01A009,국내 조미하지않은감태식탁김8g 내포,롤,7,119,112
P01A064,대만 두번구운김밥김33g 7봉 내포,롤,0,106,106
IMP00010,(캐나다)T&T 도시락12P(730459) 내포,개,0,77,77
IMP00008,(필리핀) S&R미니식탁김12G 내포,개,0,65,65
IMP00012,(캐나다)T&T 도시락3P(708957) 내포,개,0,54,54
P01A018,필리핀 S&R 미니재래식탁12g 내포,롤,24,65,41
IMP00019,(일본)시라꼬 세븐 펀칭도시락 내포,개,0,40,40
IMP00027,홈플러스 소안도김밥김10매 내포,개,0,15,15
IMP00015,(캐나다)T&T 포도씨도시락12P(763076) 내포,개,0,10,10
P01A006,국내 두번구운곱창돌김도시락5g 내포,롤,0,10,10
IMP00021,국내 신안 갯벌도시락4g*12봉 내포,개,0,7,7
IMP00026,홈플러스 올리브옥돌김20g*3봉 내포,개,0,3,3
P01A011,미국 무트레이 곱창돌김4.5g 내포,롤,76.86,48,0
P01A065,국내 유기 곱창돌김4.5g 내포,롤,56,46,0
P01A021,대만 수니쿡재래김4.5g 내포,롤,31,14,0
P01A025,대만 광푸웬 생생재래김5g 내포,롤,123,6,0
P01A062,국내 유기 어린이김 고소한맛 내포,롤,27.8,3,0
P01A030,국내 두번구운감태김도시락4g 내포,롤,3.1,2,0
P02A061,중국 갯벌 재래김 5g*30봉 외포,롤,0,202,202
IMP00003,곱창돌김식탁김17g 외포,개,0,96,96
P02A007,국내 예맛갯벌재래김5g 30봉 외포,롤,12,104,92
P02A014,중국 KS재래식탁김17g 10봉 외포,롤,14.3,79,65
P02A005,국내 두번구운곱창돌김식탁17g 10봉 외포,롤,36,96,60
IMP00013,(캐나다)T&T 도시락3P(708957) 외포,개,0,33,33
IMP00025,올리브유섞어구워향긋한파래김40g(12매*8봉) 외포,개,0,25,25
IMP00006,(E)KS구운재래김17g*20봉 외포,개,0,24,24
P02A006,국내 조미하지않은감태식탁김8g 10봉 외포,롤,12,34,22
P02A058,대만 두번구운김밥김33g 7봉 외포,롤,0,19,19
IMP00020,(일본)시라꼬 세븐 펀칭도시락 외포,개,0,18,18
IMP00009,(필리핀) S&R미니식탁김12G 외포,개,0,17,17
IMP00011,(캐나다)T&T 도시락12P(730459) 외포,개,0,17,17
IMP00016,(캐나다)T&T 포도씨도시락12P(763076) 외포,개,0,2,2
P02A047,캐나다 T&T 재래도시락5g 16봉 외포,롤,0,0,0
P02A016,필리핀 S&R 미니재래식탁12g 10봉 외포,롤,28.1,17,0
P02A008,미국 무트레이 곱창돌김4.5g 10봉 외포,롤,17.8,8,0
P02A020,대만 수니쿡재래김4.5g 6봉 외포,롤,9.4,5,0
P02A024,대만 광푸웬 생생재래김5g 3봉 외포,롤,7,4,0
P02A004,국내 두번구운곱창돌김도시락5g 30봉 외포,롤,16.98,1,0
P02A055,국내 심플러스 옥돌김20g 3봉 외포,롤,9.2,1,0
P02A040,미국 T&T 포도씨유재래도시락5g 12봉 외포,롤,4,1,0
P02A030,국내 두번구운감태김도시락4g 20봉 외포,롤,6.1,0,0
P03A077,중국 갯벌 재래김 5g*30봉 박스,ea,0,34840,34840
P03A082,캐나다 유기농 KS구운재래김17g*10P 박스,ea,0,20053,20053
P03A073,국내 유기 무조미 곱창돌김3g*15봉 외박스,ea,1484,18749,17265
P03A033,미국 두번구운곱창돌김식탁17g 10봉*10입 박스,ea,0,15657,15657
P03A013,국내 예맛갯벌재래김5g 30봉*6입 박스,ea,5700,17982,12282
P03A052,국내 두번구운곱창돌김식탁17g 10봉*10입 박스,ea,6750,15689,8939
P03A053,국내 조미하지않은감태식탁김8g 10봉*10입 박스,ea,2000,5492,3492
P03A069,대만 두번구운김밥김33g 7봉 박스,ea,0,2852,2852
P03A008,국내 두번구운곱창돌김도시락5g 30봉*6입 박스,ea,220,960,740
P03A059,국내 심플러스 생돌김 12입 박스,ea,11,749,738
P03A032,대만 수니쿡재래김4.5g 6봉*12입 박스,ea,689,1081,392
P03A081,예맛 구운 곱창돌김 박스,ea,0,252,252
P03A031,국내 두번구운감태김도시락4g 20봉*1입 박스,ea,0,53,53
P03A054,캐나다 T&T 재래도시락5g 16봉*6입 박스,ea,0,10,10
P03A014,미국 무트레이 곱창돌김4.5g 10봉*3입 박스,ea,22131,6989,0
P03A005,필리핀 S&R 미니재래식탁12g 10봉*12입 박스,ea,3810,2488,0
P03A039,대만 광푸웬 생생재래김5g 3봉*12입 박스,ea,1491,960,0
P03A018,국내 신안곱창돌김30매 20입 박스,ea,1284,826,0
P03A071,국내 유기 곱창돌김4.5g*15봉 외박스,ea,1236,590,0
P03A060,국내 심플러스 생파래김 16입 박스,ea,965,467,0
P03A062,국내 심플러스 옥돌김20g 3봉*8입 박스,ea,725,459,0
P03A038,캐나다 T&T 재래도시락5g 12봉*6입 박스,ea,480,229,0
P03A067,국내 유기 어린이김 고소한맛 외박스,ea,1908,74,0
S40,실리카겔 4g 줄,BOX,427.77,914,486
S10,실리카겔 1g 줄,BOX,240,679,439
S41,4g 컷,BOX,0,232,232
IMP00001,곱창돌김식탁김17g 식탁(대)트레이,개,0,1471,1471
IMP00004,KS구운재래김17g*10봉 식탁(대)트레이,개,0,1179,1179
IMP00028,군함말이김400매(10입) 군함말이 트레이,개,0,500,500
IMP00007,(필리핀) S&R미니식탁김12G 식탁(중) 트레이,개,0,207,207
T02,트레이 식탁(중),BOX,0,207,207
T01,트레이 식탁(대),BOX,900256,1470,0
T04,트레이 도시락43mm,BOX,460,207,0
